Kepler_ID,Kep_quarters,Stamp_quarters,Signal
2297426,18,8,S
2297728,18,8,N
2436457,18,17,S
2438003,18,17,S
2438272,18,17,S
2438757,18,17,S
2438863,18,9,S
2569516,18,17,C
2569639,18,17,S
2570032,18,17,N
2570108,18,17,C
2570146,18,17,N
2570505,18,17,N
2570760,18,17,S
2707985,18,17,N
2297232,17,17,S
2297384,17,17,C
2297574,17,4,N
2297586,17,17,N
2297739,17,8,N
2297793,17,8,C
2435893,17,17,N
2435971,17,17,S
2435987,17,17,S
2436031,17,17,S
2436097,17,17,S
2436117,17,17,N
2436209,17,17,C
2436291,17,17,N
2436331,17,17,N
2436332,17,17,S
2436365,17,17,N
2436376,17,17,N
2436417,17,17,C
2436458,17,17,S
2436525,17,17,N
2436540,17,17,C
2436593,17,17,N
2436635,17,17,S
2436676,17,17,N
2436688,17,17,C
2436715,17,17,S
2436732,17,17,S
2436759,17,17,S
2436791,17,17,N
2436804,17,17,N
2436814,17,17,S
2436818,17,17,N
2436824,17,17,S
2436866,17,17,C
2436900,17,17,S
2436912,17,17,S
2436944,17,17,S
2436954,17,17,C
2436981,17,17,S
2437033,17,17,N
2437038,17,17,S
2437040,17,17,S
2437103,17,17,S
2437112,17,17,N
2437171,17,17,C
2437178,17,17,N
2437234,17,17,S
2437240,17,17,C
2437252,17,17,N
2437270,17,17,C
2437296,17,17,N
2437317,17,17,S
2437325,17,17,N
2437340,17,17,S
2437353,17,17,C
2437359,17,17,S
2437394,17,17,C
2437402,17,17,S
2437413,17,17,N
2437443,17,17,N
2437444,17,17,S
2437446,17,17,N
2437452,17,17,N
2437488,17,17,S
2437496,17,17,S
2437507,17,17,S
2437539,17,17,N
2437564,17,17,C
2437589,17,17,S
2437624,17,17,N
2437630,17,17,N
2437653,17,17,C
2437682,17,17,C
2437688,17,17,C
2437698,17,17,C
2437781,17,17,S
2437792,17,17,N
2437804,17,17,S
2437805,17,17,S
2437810,17,17,S
2437816,17,17,S
2437851,17,17,C
2437897,17,17,N
2437930,17,17,N
2437933,17,17,S
2437957,17,17,C
2437965,17,17,S
2437972,17,17,C
2437976,17,17,C
2437987,17,17,S
2437996,17,17,S
2438038,17,17,S
2438049,17,17,N
2438051,17,17,S
2438052,17,17,C
2438053,17,17,N
2438069,17,13,C
2438070,17,17,S
2438094,17,8,C
2438140,17,17,C
2438151,17,17,C
2438192,17,17,N
2438249,17,17,S
2438264,17,17,C
2438333,17,13,S
2438421,17,17,S
2438513,17,8,S
2438887,17,8,C
2568717,17,17,S
2568916,17,17,S
2568971,17,16,S
2568982,17,17,S
2569055,17,17,S
2569327,17,17,S
2569360,17,17,S
2569488,17,17,C
2569618,17,17,S
2569650,17,17,C
2569673,17,17,N
2569712,17,17,N
2569752,17,17,S
2569912,17,17,N
2569935,17,17,S
2569945,17,17,S
2570049,17,17,N
2570094,17,17,C
2570134,17,17,N
2570214,17,17,S
2570244,17,17,S
2570263,17,17,C
2570277,17,17,N
2570289,17,17,S
2570469,17,17,N
2570490,17,17,N
2570518,17,17,C
2570519,17,17,N
2570536,17,17,C
2570846,17,9,C
2570864,17,17,N
2437329,16,17,S
2438010,16,17,N
2438368,16,17,C
2438502,16,8,S
2569000,16,17,S
2570330,16,17,C
2570462,16,17,S
2437209,15,17,N
2437692,15,17,S
2707903,15,17,N
2297236,14,17,C
2436849,14,17,C
2437044,14,17,N
2437222,14,17,N
2437281,14,17,N
2437645,14,17,N
2437948,14,17,C
2438517,14,17,N
2569679,14,17,N
2569737,14,17,N
2570172,13,17,S
2570384,13,17,C
2436245,12,4,N
2436450,12,17,C
2436543,12,17,S
2436682,12,17,C
2436935,12,17,C
2437053,12,17,N
2437164,12,17,S
2437280,12,17,N
2437622,12,17,C
2437749,12,17,C
2438061,12,17,C
2438100,12,17,S
2438191,12,17,S
2438324,12,17,S
2438362,12,17,N
2438462,12,8,S
2438470,12,17,S
2568756,12,17,S
2569240,12,17,N
2569426,12,17,N
2569595,12,17,N
2569727,12,17,N
2570281,12,17,S
2570575,12,17,S
2707716,12,17,C
2568654,11,17,S
2569204,11,17,S
2436334,10,17,S
2436378,10,17,N
2436608,10,17,S
2436680,10,17,C
2436750,10,17,C
2436884,10,17,S
2437267,10,17,C
2437327,10,17,S
2437331,10,17,N
2437505,10,17,N
2437610,10,17,N
2437684,10,17,N
2437901,10,17,S
2438139,10,17,S
2438289,10,17,S
2568888,10,17,S
2569078,10,17,S
2569105,10,17,S
2569137,10,17,S
2569390,10,15,C
2569605,10,17,S
2569891,10,17,C
2570131,10,17,N
2570794,10,17,S
