Kepler_ID,Kep_quarters,Stamp_quarters,Signal
4936750,15,5,N
5023699,15,14,N
5023743,15,14,N
5023931,15,14,S
5023953,15,14,S
5023985,15,14,S
5024017,15,14,S
5024043,15,14,S
5024123,15,14,N
5024268,15,14,C
5024272,15,14,C
5024476,15,14,S
5024584,15,14,C
5024699,15,14,S
5024750,15,14,S
5024851,15,14,S
5024967,15,14,S
5025003,15,14,S
5025153,15,14,N
5025162,15,14,S
5025234,15,8,S
5025261,15,14,S
5025464,15,14,S
5111655,15,6,S
5111742,15,14,N
5111847,15,14,N
5111949,15,14,S
5111982,15,14,N
5112169,15,14,S
5112281,15,14,S
5112288,15,14,S
5112361,15,14,S
5112373,15,14,S
5112387,15,14,S
5112401,15,14,S
5112438,15,14,S
5112481,15,12,S
5112502,15,14,N
5112553,15,14,S
5112659,15,14,N
5112716,15,14,N
5112730,15,13,S
5112744,15,14,S
5112786,15,14,S
5113041,15,14,S
5113061,15,14,S
5113323,15,14,N
5199859,15,14,S
5200152,15,6,S
5200521,15,9,S
4936771,14,14,N
4936897,14,8,N
4936948,14,14,S
4937056,14,14,S
5023760,14,5,N
5023822,14,14,N
5023843,14,14,N
5023845,14,14,C
5023874,14,14,N
5023900,14,14,N
5023956,14,14,C
5023959,14,14,N
5023963,14,14,N
5023976,14,5,N
5024003,14,14,N
5024032,14,14,N
5024060,14,14,N
5024076,14,14,N
5024079,14,14,S
5024084,14,14,S
5024138,14,14,C
5024143,14,14,S
5024173,14,14,S
5024177,14,14,C
5024215,14,14,S
5024240,14,14,S
5024252,14,14,C
5024254,14,14,S
5024284,14,14,N
5024297,14,14,S
5024312,14,14,S
5024327,14,14,S
5024369,14,14,N
5024372,14,14,N
5024404,14,14,S
5024405,14,14,S
5024410,14,14,N
5024414,14,14,S
5024433,14,14,N
5024447,14,14,N
5024454,14,14,C
5024456,14,14,S
5024482,14,14,C
5024493,14,14,S
5024512,14,14,S
5024517,14,14,S
5024524,14,14,N
5024550,14,14,N
5024556,14,14,N
5024575,14,14,N
5024582,14,14,S
5024583,14,14,S
5024587,14,14,S
5024601,14,14,S
5024641,14,14,N
5024667,14,14,N
5024753,14,14,N
5024787,14,14,N
5024943,14,14,N
5024984,14,14,N
5025165,14,14,C
5025205,14,14,N
5025288,14,14,C
5025294,14,14,S
5025484,14,14,N
5025526,14,14,S
5025543,14,14,N
5111718,14,14,S
5111728,14,14,N
5111768,14,5,N
5111815,14,10,S
5111862,14,14,S
5111890,14,14,S
5111932,14,14,S
5111940,14,14,S
5111973,14,14,N
5111979,14,14,N
5111987,14,14,S
5112064,14,14,N
5112072,14,14,S
5112117,14,14,S
5112157,14,14,S
5112198,14,14,S
5112200,14,14,N
5112219,14,14,N
5112228,14,14,N
5112248,14,14,N
5112307,14,14,N
5112391,14,14,N
5112403,14,14,N
5112446,14,14,N
5112467,14,14,S
5112483,14,14,C
5112491,14,14,S
5112535,14,14,N
5112541,14,14,N
5112555,14,14,N
5112564,14,14,N
5112567,14,14,C
5112705,14,14,N
5112712,14,14,N
5112734,14,14,S
5112741,14,14,S
5112751,14,14,C
5112754,14,14,N
5112816,14,14,N
5112880,14,14,S
5112932,14,14,N
5112938,14,14,S
5112948,14,14,S
5112950,14,14,S
5112969,14,14,N
5112974,14,14,S
5112995,14,14,N
5113001,14,14,N
5113071,14,14,N
5113123,14,14,N
5113250,14,14,S
5113382,14,14,N
5113393,14,14,S
5113436,14,14,N
5113522,14,14,N
5113530,14,14,N
5113585,14,4,N
5199592,14,14,C
5199692,14,14,N
5199816,14,14,N
5200018,14,14,N
5200026,14,14,N
5200048,14,14,N
5200160,14,14,N
5200210,14,14,N
5200237,14,14,N
5200308,14,14,N
5200422,14,14,N
5200436,14,14,N
5024242,13,14,N
5113378,13,9,N
5113601,13,9,N
5199633,13,6,S
5200184,13,14,N
5112840,12,14,S
5023842,11,1,N
5023853,11,14,N
5023872,11,14,N
5023899,11,14,N
5024048,11,14,N
5024082,11,14,N
5024126,11,14,C
5024202,11,14,S
5024227,11,14,N
5024231,11,14,N
5024263,11,14,C
5024295,11,14,N
5024310,11,14,N
5024361,11,14,C
5024380,11,14,N
5024429,11,14,N
5024448,11,14,N
5024450,11,14,S
5024461,11,14,N
5024463,11,14,N
5024469,11,14,N
5024489,11,14,N
5024506,11,14,C
5024531,11,14,S
5024538,11,14,S
5024544,11,14,N
5024549,11,14,N
5024589,11,14,N
5024607,11,14,S
5024650,11,14,N
5024652,11,15,C
5024654,11,14,N
5024668,11,14,N
5024696,11,14,N
5024761,11,14,C
5025074,11,8,N
5025147,11,14,N
5025295,11,14,N
5025456,11,14,N
5111730,11,14,N
5111971,11,14,N
5112104,11,14,S
5112300,11,14,N
5112378,11,14,N
5112410,11,14,C
5112433,11,14,N
5112451,11,14,N
5112670,11,14,N
5112687,11,14,C
5112738,11,14,N
5112812,11,14,N
5112814,11,14,C
5112836,11,14,C
5112976,11,14,N
5112978,11,14,N
5112979,11,14,N
5113275,11,14,N
5113295,11,14,N
5199614,11,14,N
5200038,11,14,C
5200076,11,14,N
5200154,11,14,C
5200185,11,14,S
5200207,11,14,N
5200289,11,14,N
4936741,10,14,N
4936872,10,14,N
4936891,10,14,N
5023621,10,14,N
5023703,10,5,N
5023711,10,14,N
5023796,10,14,N
5023800,10,14,N
5023825,10,14,N
5023841,10,14,N
5023863,10,14,N
5023875,10,14,N
5024008,10,14,C
5024066,10,14,C
5024118,10,14,C
5024122,10,14,N
5024129,10,14,N
5024137,10,14,N
5024159,10,14,N
5024175,10,14,N
5024182,10,14,N
5024239,10,14,N
5024280,10,14,N
5024328,10,14,N
5024329,10,14,N
5024455,10,14,S
5024503,10,14,N
5024555,10,14,N
5024563,10,14,N
5024717,10,14,N
5024720,10,14,N
5024744,10,14,N
5024747,10,14,N
5024854,10,14,N
5024856,10,14,N
5024888,10,14,N
5024961,10,14,N
5025093,10,14,N
5025100,10,14,N
5025161,10,14,N
5025228,10,14,N
5025271,10,14,N
5025363,10,14,N
5111807,10,14,N
5111808,10,14,N
5111820,10,14,N
5111834,10,14,N
5111889,10,14,N
5111891,10,14,N
5111898,10,14,N
5111908,10,14,N
5111922,10,14,N
5111934,10,14,N
5111938,10,14,N
5111939,10,14,C
5111945,10,14,N
5112002,10,14,N
5112012,10,14,N
5112018,10,14,N
5112029,10,14,N
5112056,10,14,C
5112085,10,14,N
5112123,10,14,N
5112127,10,14,N
5112137,10,14,N
5112146,10,14,N
5112182,10,14,N
5112232,10,14,N
5112266,10,14,N
5112268,10,14,N
5112350,10,14,N
5112360,10,14,N
5112379,10,14,N
5112395,10,14,N
5112402,10,14,S
5112408,10,14,N
5112413,10,14,N
5112427,10,14,S
5112494,10,14,N
5112499,10,14,N
5112507,10,14,N
5112525,10,14,N
5112527,10,14,N
5112549,10,14,N
5112558,10,14,S
5112714,10,14,N
5112817,10,14,N
5112855,10,14,N
5112861,10,14,N
5112871,10,14,N
5112878,10,14,N
5112907,10,14,N
5112992,10,14,N
5113020,10,14,N
5113047,10,14,N
5113116,10,14,N
5113131,10,14,N
5113182,10,14,N
5113286,10,14,C
5113344,10,14,N
5113350,10,14,N
5113351,10,14,N
5113362,10,14,N
5113370,10,14,N
5113457,10,4,N
5199920,10,14,N
5200088,10,14,N
5200407,10,14,N
5023948,9,14,S
5025021,6,14,S
5111767,6,14,S
5024150,5,14,N
5112468,5,14,N
5113261,5,14,N
5199930,5,14,S
4936825,4,14,S
5023849,4,14,N
5023890,4,14,N
5024292,4,14,S
5024322,4,14,S
5024354,4,14,N
5112118,4,14,S
5112409,4,14,N
5112958,4,14,C
5113053,4,14,S
5024146,3,14,S
5024149,3,14,N
5024557,3,14,N
5024773,3,14,S
5112426,3,14,S
5112447,3,14,N
5112508,3,14,S
5112585,3,14,N
5112739,3,14,N
5112749,3,14,N
5113146,3,14,N
5200172,3,14,N
5025101,2,14,S
5111849,2,14,S
5112910,2,14,N
5113089,2,14,S
5199605,2,14,S
5200176,2,14,N
5200290,2,13,N
5024157,1,14,N
5024287,1,14,N
5024365,1,14,S
5024497,1,14,N
5024519,1,14,N
5024700,1,14,N
5112368,1,14,N
5112604,1,14,N
5113058,1,14,N
5113228,1,14,S
5200146,1,14,S
5200187,1,14,N
