Kepler_ID,RA (J2000),Dec (J2000),Teff,kepmag
2297055,290.1315255,37.694881,,18.466
2297058,290.1325605,37.69737,5490,17.564
2297076,290.1369,37.69127,5452,17.41
2297081,290.13732,37.68698,5299,17.28
2297083,290.1375135,37.696792,,17.857
2297084,290.1375285,37.699928,,
2297092,290.13861,37.69058,4592,17.472
2297096,290.1389805,37.69348,5761,18.141
2297102,290.1401895,37.69929,6065,15.912
2297105,290.1412305,37.68295,5088,18.115
2297113,290.1433695,37.69501,5389,17.404
2297117,290.1441975,37.67895,,19.753
2297125,290.1453,37.696358,,17.797
2297130,290.1457635,37.69785,,19.467
2297131,290.1459255,37.696097,,18.52
2297133,290.1466665,37.695814,,18.147
2297139,290.14803,37.68543,5234,17.423
2297140,290.148222,37.675572,,19.347
2297143,290.14974,37.69066,5410,17.647
2297145,290.150031,37.681936,,16.17
2297149,290.151486,37.692436,,19.568
2297154,290.1519495,37.67919,5939,15.702
2297156,290.1522195,37.66899,4698,17.863
2297160,290.1525405,37.67291,5369,18.019
2297164,290.1540165,37.691589,,19.184
2297168,290.15484,37.67624,5483,17.858
2297170,290.15523,37.66918,4751,17.854
2297171,290.1553395,37.67431,5510,18.117
2297175,290.15574,37.69682,5416,17.368
2297177,290.155875,37.696264,,17.404
2297184,290.15775,37.69432,5720,17.321
2297189,290.159517,37.684083,,18.714
2297191,290.159745,37.694369,,19.155
2297194,290.159859,37.67837,5803,17.165
2297205,290.1614445,37.698686,,20.005
2297206,290.1614805,37.694742,,18.288
2297207,290.1614895,37.666789,,15.56
2297208,290.161692,37.6877,,18.85
2297209,290.1617595,37.66737,5341,17.386
2297210,290.1617595,37.66353,5553,18.018
2297211,290.1619035,37.683103,,18.83
2297212,290.162028,37.678675,,18.726
2297213,290.16204,37.67973,5519,17.397
2297219,290.163003,37.686561,,19.26
2297221,290.163225,37.679808,,18.848
2297225,290.1639615,37.655631,,18.817
2297231,290.16438,37.683519,,19.406
2297232,290.1644895,37.69638,5711,13.884
2297233,290.1645195,37.66728,4802,16.662
2297235,290.16465,37.66511,5850,17.706
2297236,290.1648,37.69543,4955,15.266
2297237,290.164992,37.666261,,15.877
2297239,290.1650385,37.669475,,19.359
2297241,290.165172,37.683383,,19.312
2297245,290.1659775,37.684333,,17.752
2297249,290.1663615,37.691756,,18.002
